,dimensiones,subpoblaciones,tiempo_exec
767,174,131,90
768,174,174,105
769,175,2,12
770,175,45,28
771,175,88,67
772,175,131,93
773,175,174,123
774,176,2,10
775,176,46,28
776,176,90,61
777,176,134,115
778,177,2,12
779,177,46,33
780,177,90,78
781,177,134,99
782,178,2,17
783,178,46,28
784,178,90,68
785,178,134,97
786,178,178,123
787,179,2,18
788,179,46,35
789,179,90,66
790,179,134,115
791,179,178,141
792,180,2,26
793,180,47,34
794,180,92,90
795,180,137,104
796,181,2,11
797,181,47,32
798,181,92,84
799,181,137,100
800,182,2,11
801,182,47,31
802,182,92,67
803,182,137,115
804,182,182,122
805,183,2,13
806,183,47,33
807,183,92,67
808,183,137,151
809,183,182,125
810,184,2,15
811,184,48,36
812,184,94,75
813,184,140,109
814,185,2,20
815,185,48,33
816,185,94,69
817,185,140,111
818,186,2,13
819,186,48,42
820,186,94,81
821,186,140,125
822,186,186,124
823,187,2,11
824,187,48,33
825,187,94,75
826,187,140,154
827,187,186,134
828,188,2,11
829,188,49,32
830,188,96,73
831,188,143,110
832,189,2,15
833,189,49,35
834,189,96,78
835,189,143,118
836,190,2,12
837,190,49,34
838,190,96,97
839,190,143,117
840,190,190,147
841,191,2,12
842,191,49,35
843,191,96,86
844,191,143,117
845,191,190,137
846,192,2,12
847,192,50,36
848,192,98,97
849,192,146,144
850,193,2,28
851,193,50,35
852,193,98,81
853,193,146,120
854,194,2,14
855,194,50,41
856,194,98,98
857,194,146,120
858,194,194,158
859,195,2,29
860,195,50,39
861,195,98,91
862,195,146,138
863,195,194,145
864,196,2,30
865,196,51,55
866,196,100,82
867,196,149,133
868,197,2,13
869,197,51,35
870,197,100,112
871,197,149,143
872,198,2,28
873,198,51,67
874,198,100,83
875,198,149,129
876,198,198,150
877,199,2,13
878,199,51,37
879,199,100,88
880,199,149,150
881,199,198,157
882,200,2,14
883,200,52,41
884,200,102,93
885,200,152,138
